Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,"",9781591845324,hardcover,read,2020/08/25,2020/07/01,2020/07/01,1,"",,,,,,,5.0,,"",,"business, leadership",No
The Proximity Principle: The Proven Strategy That Will Lead to a Career You Love,Ken Coleman,"",9780978562038,hardcover,read,2021/09/12,2021/08/27,2021/08/27,1,"",,,,,,,3.0,,"",,business,No
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"",9781455586691,hardcover,read,2023/03/28,2023/03/22,2023/03/27-2023/03/22,1,informative,medium,,,,,,4.5,"","","","self-help, work, focus, psychology",No
Rage,Bob Woodward,"",9781982131739,hardcover,read,2020/10/07,2020/11/02,2020/11/02,1,"",,,,,,,4.0,,"",,"politics, history",No
How to Be Perfect: The Correct Answer to Every Moral Question,Michael Schur,"",9781982159313,hardcover,to-read,2021/11/28,"","",0,"",,,,,,,,,"",,"",No
The Genome Defense: Inside the Epic Legal Battle to Determine Who Owns Your DNA,Jorge L. Contreras,"",9781616209681,hardcover,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
Black Code: Inside the Battle for Cyberspace,Robert J. Deibert,"",,,read,2022/07/29,2022/07/29,2022/07/29,1,"",,,,,,,4.0,,"",,"technology, science",No
"The Hidden Life of Trees: What They Feel, How They Communicate—Discoveries from A Secret World","Suzanne Simard, Peter Wohlleben, Tim Flannery",Jane Billinghurst (Translator),9781771642491,digital,read,2023/03/17,2023/03/16,2023/03/10-2023/03/16,1,"informative, inspiring",medium,,,,,,5.0,"","","",nature,No
The Blue Zones: Lessons for Living Longer From the People Who've Lived the Longest,Dan Buettner,"",9781426202742,hardcover,read,2023/01/30,2023/01/30,2023/01/27-2023/01/30,1,informative,fast,,,,,,4.0,"","","",health,No
Bottle of Lies: The Inside Story of the Generic Drug Boom,Katherine Eban,"",9780062338808,digital,read,2021/04/14,2021/04/14,2021/04/14,1,"",,,,,,,5.0,,"",,"health, true-crime",No
Things I Wish I'd Known Before We Became Parents,"Gary Chapman, Shannon Warden","",9780802414748,paperback,read,2021/11/14,2021/11/17,2021/11/17,1,"",,,,,,,4.0,,"",,parenting,No
"Hello, Habits: A Minimalist's Guide to a Better Life",Fumio Sasaki,"",9781324005582,hardcover,read,2021/12/25,2022/01/17,2022/01/17,1,"",,,,,,,4.0,,"",,"habits, self-help",No
Frontal Fatigue: The Impact of Modern Life and Technology on Mental Illness,"Mark D. Rego, Mark D. Rego","",9781632994349,paperback,to-read,2021/11/23,"","",0,"",,,,,,,,,"",,"",No
"The Art of Taking It Easy: How to Cope with Bears, Traffic, and the Rest of Life's Stressors",Brian King,"",9781948062466,hardcover,read,2022/10/10,2022/10/15,2022/10/15,1,"",,,,,,,3.0,,"",,psychology,No
The Places That Scare You: A Guide to Fearlessness in Difficult Times,Pema Chödrön,"",9781590304495,paperback,read,2021/05/11,2021/05/11,2021/05/11,1,"",,,,,,,4.0,,"",,"philosophy, meditation",No
Practical Statistics for Data Scientists: 50 Essential Concepts,"Andrew Bruce, Peter Bruce","",,,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
Running on Empty: Overcome Your Childhood Emotional Neglect,Jonice Webb,"",9781614482420,paperback,read,2022/11/20,2022/11/20,2022/11/20,1,"",,,,,,,4.0,,"",,psychology,No
"Future Peace: Technology, Aggression, and the Rush to War","Robert H Latiff, Robert H Latiff","",9780268201890,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
Agile Scrum Crash Course: A Guide To Agile Project Management and Scrum Master Certification PSM 1,Umer W.,"","",digital,read,2021/10/13,2021/11/14,2021/11/14,1,"",,,,,,,3.0,,"",,"agile, scrum",No
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code,Zed A. Shaw,"",B07378P8W6,digital,read,2023/02/01,2023/02/01,2022/06/06-2023/02/01,1,"challenging, informative",slow,,,,,,3.0,"","","","programming, python",No
"The Rape of the Mind: The Psychology of Thought Control, Menticide, and Brainwashing",Joost A. M. Meerloo,"",9781615773763,paperback,read,2021/10/13,2021/10/21,2021/10/21,1,"",,,,,,,5.0,,"",,"politics, psychology",No
The Alchemist,Paulo Coelho,Alan R. Clarke (Translator),9780062315007,paperback,read,2020/08/25,2020/05/01,2020/05/01,1,"",,,,,,,4.0,,"",,"philosophy, fiction",No
"The Imposter Syndrome Remedy A 30-day Action Plan to Stop Feeling Like a Fraud: The PAME Code to end self sabotage, know your worth, and flourish with ... at work and in life",E.V. Estacio,"","",digital,read,2021/08/09,2021/08/13,2021/08/13,1,"",,,,,,,2.0,,"",,self-help,No
Python Pocket Reference,Mark Lutz,"",,,read,2023/04/04,2023/04/04,2023/04/04-2023/04/04,1,informative,fast,,,,,,5.0,"","","","programming, reference",No
Unmasked: My Life Solving America's Cold Cases,Paul Holes,"",9781250622792,hardcover,to-read,2021/11/28,"","",0,"",,,,,,,,,"",,"",No
The Stories We Tell Ourselves: Stop Jumping to Conclusions. Free Yourself from Anxiety. Transform Your Relationships.,R. Scott Gornto,"",9780990719113,hardcover,read,2020/12/29,2020/12/31,2020/12/31,1,"",,,,,,,4.0,,"",,"self-help, psychology",No
So You Want to Talk About Race,Ijeoma Oluo,"",9781580056779,hardcover,read,2020/10/05,2020/10/07,2020/10/07,1,"",,,,,,,4.0,"I kicked and screamed a little through this book with some of the perceptions that were being presented. I struggled with it, I talked with others about it, and most importantly, I opened myself up to it. When I finally came to the end of it, I found myself quite sad and quite frustrated. <br><br>Frustrated at my own blind spots and things I have done and sad for how people are treated. I still can't help shake that some of this book is ""Stories We Tell Ourselves"" about the intentions of others' actions or what people say but it doesn't really matter does it? <br><br>What matters is that a problem exists and I now have a better understanding of those problems, so I feel that I can do more to contribute to resolving them and being more compassionate.","",,racism,No
"Slaughterhouse: The Shocking Story of Greed, Neglect, and Inhumane Treatment Inside the U.S. Meat Industry",Gail A. Eisnitz,"",9781591024507,paperback,read,2022/04/16,2022/04/16,2022/04/16,1,"",,,,,,,5.0,,"",,"health, animal-rights",No
"A Hacker's Mind: How the Powerful Bend Society's Rules, and How to Bend them Back",Bruce Schneier,"",9780393866667,hardcover,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
The Path: Accelerating Your Journey to Financial Freedom,Peter Mallouk,"",9781642937015,hardcover,read,2020/10/23,2020/11/29,2020/11/29,1,"",,,,,,,4.0,,"",,finance,No
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,"",9780062391544,hardcover,read,2021/10/12,2021/10/12,2021/10/12,1,"",,,,,,,3.0,,"",,"self-help, psychology",No
Outgrowing Capitalism: Rethinking Money to Reshape Society and Pursue Purpose,"Marco Dondi, Marco Dondi","",9781735424576,hardcover,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness","Fumitake Koga, Ichiro Kishimi","",9781760630737,paperback,read,2020/10/22,2020/10/22,2020/10/22,1,"",,,,,,,5.0,,"",,"philosophy, self-help, psychology",No
The Death of Expertise: The Campaign Against Established Knowledge and Why It Matters,Tom Nichols,"",9780190469412,hardcover,read,2021/02/28,2021/04/30,2021/04/30,1,"",,,,,,,4.0,,"",,"politics, science",No
The Brain Under Siege,Howard L. Weiner,"",9781953295545,hardcover,to-read,2021/11/25,"","",0,"",,,,,,,,,"",,"",No
Building: A Carpenter's Notes on Life & the Art of Good Work,Mark Ellison,"",9780593449127,hardcover,to-read,2022/12/04,"","",0,"",,,,,,,,,"",,"",No
Reality+: Virtual Worlds and the Problems of Philosophy,David J. Chalmers,"",9780393635805,hardcover,to-read,2021/11/28,"","",0,"",,,,,,,,,"",,"",No
I'm Still Here: Black Dignity in a World Made for Whiteness,Austin Channing Brown,Austin Channing Brown (Narrator),9780525588528,audio,read,2021/07/09,2021/07/09,2021/07/09,1,"",,,,,,,4.0,,"",,racism,No
Designing the Mind: The Principles of Psychitecture,Designing the Mind,"",,,read,2021/10/13,2021/06/25,2021/06/25,1,"",,,,,,,5.0,,"",,"philosophy, psychology",No
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"",9780345816023,hardcover,read,2021/06/01,2021/06/04,2021/06/04,1,"",,,,,,,2.0,It took me well over a year to finish this book. It could be a fraction of the length and I think it would actually add more value that way. Peterson just goes on and on but all that extra text does not make the book better or improve on its ideas. Much of it seems like rambling and it was a struggle to get through.,"",,"philosophy, psychology",No
Uncomfortable Conversations with a Black Man,Emmanuel Acho,"",9781250800466,hardcover,read,2021/02/21,2021/02/21,2021/02/21,1,"",,,,,,,5.0,,"",,racism,No
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,"",9781593275990,paperback,read,2022/08/22,2022/05/11,2022/05/11,1,"",,,,,,,4.0,,"",,"programming, python",No
The Infinite Game,Simon Sinek,"",9780735213500,hardcover,read,2020/08/25,2020/06/01,2020/06/01,1,"",,,,,,,4.0,,"",,business,No
The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,"",9780735210653,hardcover,read,2023/02/21,2023/02/21,2023/02/19-2023/02/21,1,informative,fast,,,,,,4.0,"","","","self-help, psychology, regret",No
A Deeper Sickness: Journal of America in the Pandemic Year,"Margaret Peacock, Margaret Peacock, Erik L Peterson, Erik L Peterson","",9780807040294,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
The Missing Readme: A Guide for the New Software Engineer,"Chris Riccomini, Dmitriy Ryaboy","",9781718501836,paperback,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
Facing Codependence,"J. Keith Miller, Andrea Wells Miller, Pia Mellody","",9780062505897,paperback,read,2023/03/31,2023/03/31,2023/03/24-2023/03/31,1,informative,medium,,,,,,4.0,"","","","self-help, psychology",No
Where the Deer and the Antelope Play: The Pastoral Observations of One Ignorant American Who Loves to Walk Outside,Nick Offerman,"",9781101984697,hardcover,read,2023/03/05,2023/03/05,2023/02/24-2023/03/05,1,lighthearted,medium,,,,,,4.5,"","","",memoir,No
The Enchiridion,Epictetus,Thomas W. Higginson (Translator),9781981186921,paperback,read,2020/10/23,2020/08/01,2020/08/01,1,"",,,,,,,3.0,,"",,philosophy,No
The 5th Option: Why Your Retirement Plan Won't Work the Way You Think It Will,"Peter G. Bielagus, Walter C. Young III, Walter C. Young III","",9781632994110,hardcover,to-read,2021/11/23,"","",0,"",,,,,,,,,"",,"",No
The Wealthy Ski Bum: 10 Steps to a Successful Retirement,Sandro Rossini,"",9798666257661,paperback,read,2020/10/22,2020/10/25,2020/10/25,1,"",,,,,,,3.0,,"",,finance,No
Magic of Thinking Big,David J. Schwartz,"",9780671646783,paperback,read,2020/09/13,2020/08/09,2020/08/09,1,"",,,,,,,4.0,,"",,psychology,No
"Emotional Inheritance: A Therapist, Her Patients, and the Legacy of Trauma",Galit Atlas,"",9780316492126,hardcover,to-read,2021/11/28,"","",0,"",,,,,,,,,"",,"",No
The Premonition: A Pandemic Story,Michael Lewis,"",9780393881554,hardcover,read,2021/08/23,2021/08/31,2021/08/31,1,"",,,,,,,4.0,,"",,"health, science",No
After America: Get Ready for Armageddon,Mark Steyn,"",9781596981003,hardcover,read,2022/02/07,2022/02/07,2022/02/07,1,"",,,,,,,4.0,,"",,"politics, history",No
"Habitudes: 50 Inspiring Habits That Create Gratitude, Abundance and Joy in Your Life",Dirk Foster,"",B08DN1V2QJ,digital,read,2021/12/13,2021/12/13,2021/12/13,1,"",,,,,,,3.0,,"",,"habits, self-help",No
The Wealthy Renter: How to Choose Housing That Will Make You Rich,Alex Avery,"",9781459736474,digital,read,2021/05/27,2021/05/27,2021/05/27,1,"",,,,,,,5.0,,"",,finance,No
Accelerated Learning Unlocked: 40+ Expert Techniques for Rapid Skill Acquisition and Memory Improvement. The Step-by-Step Guide for Beginners to Quickly Cut Your Study Time for Anything New in Half,John R. Torrance,"",B084RSYCNY,digital,read,2023/05/13,2023/05/13,2023/05/10-2023/05/13,1,informative,medium,,,,,,3.0,"","","","learning, memoy",No
Human-Centered Communication: A Business Case Against Digital Pollution,"Stephen Pacinelli, Ethan Beute, Ethan Beute","",9781639080007,hardcover,to-read,2021/10/27,"","",0,"",,,,,,,,,"",,"",No
"The Slumbering Masses: Sleep, Medicine, and Modern American Life",Matthew J. Wolf-Meyer,"",9780816674749,hardcover,read,2022/04/06,2022/04/06,2022/04/06,1,"",,,,,,,3.0,,"",,"sleep, history, science",No
ORION  A life-changing Journey,Rosario Martone,"",B08ZK1ZJ8N,digital,read,2021/06/18,2021/06/24,2021/06/24,1,"",,,,,,,2.0,,"",,memoir,No
Ten Arguments for Deleting Your Social Media Accounts Right Now,Jaron Lanier,"",9781250239082,paperback,read,2020/09/14,2020/09/20,2020/09/20,1,"",,,,,,,4.0,,"",,"social-media, philosophy, technology, psychology",No
Severed: A History of Heads Lost and Heads Found,Frances Larson,"",9780871404541,hardcover,read,2021/08/23,2021/08/23,2021/08/23,1,"",,,,,,,3.0,,"",,"history, science",No
"Goodbye, Things: The New Japanese Minimalism",Fumio Sasaki,Eriko Sugita (Translator),9780393609035,hardcover,read,2021/12/23,2021/12/23,2021/12/23,1,"",,,,,,,4.0,,"",,minimalism,No
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"",9781524731656,hardcover,read,2021/03/23,2021/03/23,2021/03/23,1,"",,,,,,,5.0,,"",,true-crime,No
Darkness Visible: A Memoir of Madness,William Styron,"",9780679736394,paperback,read,2020/09/12,2020/08/23,2020/08/23,1,"",,,,,,,4.0,,"",,"psychology, memoir",No
Think and Grow Rich,Napoleon Hill,"",9781599866857,hardcover,read,2020/09/13,2020/07/01,2020/07/01,1,"",,,,,,,2.0,,"",,"finance, psychology",No
The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,Max Fisher,"",9780316703321,hardcover,read,2022/11/06,2022/11/06,2022/11/06,1,"",,,,,,,5.0,,"",,"social-media, technology, psychology",No
"Endurance: Shackleton's Incredible Voyage to the Antarctic by Lansing, Alfred (2001) Hardcover",Alfred Lansing,"",,,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
A Place to Stand,Jimmy Santiago Baca,"",9780802139085,paperback,read,2021/07/14,2021/07/30,2021/07/30,1,"",,,,,,,3.0,,"",,memoir,No
366 Stoic Quotes: A Year Of Stoicism From Ancient And Modern Stoics - A Daily Guide Of Stoic Meditations,Alexander Clavell,"",B081ZXQB52,digital,read,2021/07/17,2021/07/18,2021/07/18,1,"",,,,,,,5.0,,"",,philosophy,No
After Harm: Medical Error and the Ethics of Forgiveness,Nancy Berlinger,"",,,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
SQL Antipatterns: Avoiding the Pitfalls of Database Programming,Bill Karwin,"",9781934356555,paperback,read,2023/02/09,2023/02/09,2023/02/01-2023/02/09,1,informative,medium,,,,,,4.0,"","","","sql, programming",No
Discipline and Punish: The Birth of the Prison,Michel Foucault,Alan Sheridan (Translator),9780679752554,paperback,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"",9781984878106,hardcover,read,2021/05/14,2021/05/14,2021/05/14,1,"",,,,,,,5.0,,"",,"logic, psychology",No
How to: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,"",9780525537090,hardcover,read,2022/08/11,2022/08/01,2022/08/01,1,"",,,,,,,4.0,,"",,"funny, nonsense, science",No
"The Stoic Challenge: A Philosopher's Guide to Becoming Tougher, Calmer, and More Resilient",William B. Irvine,"","",digital,read,2021/04/15,2021/04/25,2021/04/25,1,"",,,,,,,4.0,,"",,"philosophy, self-help",No
The Choice: Embrace the Possible,Edith Eva Eger,"Esmé Schwall Weigand, Philip G. Zimbardo",9781501130786,hardcover,to-read,2021/12/29,"","",0,"",,,,,,,,,"",,"",No
Biography of Resistance: The Epic Battle Between People and Pathogens,Muhammad H. Zaman,"",9780062862983,digital,read,2021/08/13,2021/08/13,2021/08/13,1,"",,,,,,,3.0,,"",,"health, science",No
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"",9781544512273,paperback,read,2021/01/08,2021/01/08,2021/01/08,1,"",,,,,,,4.0,,"",,psychology,No
Indistractable: How to Control Your Attention and Choose Your Life,"Nir Eyal, Julie Li","",9781948836531,hardcover,read,2020/12/17,2020/12/17,2020/12/17,1,"",,,,,,,4.0,,"",,"self-help, psychology",No
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,"",9780307949325,digital,read,2023/03/08,2023/03/07,2023/03/02-2023/03/07,1,"challenging, emotional, informative",medium,,,,,,3.5,"","","","self-help, memoir",No
Killing Weakness: The Samurai's Path to Self-Actualization : Use This Warrior Method to Develop Inner Strength and Find Your True Path,Ryan Perez,"",B08P8YW5V2,digital,read,2021/07/18,2021/07/31,2021/07/31,1,"",,,,,,,4.0,,"",,philosophy,No
