Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"Nothing Has to Be Done: Meditation, Neuroscience, and Dissolving the Ego",Jeff Nirenberg,"",9798651521197,paperback,read,2021/07/02,2021/07/11,2021/07/11,1,"",,,,,,,4.0,,"",,"philosophy, science",No
Elevated Economics: How Conscious Consumers Will Fuel the Future of Business,Richard Steel,"",,,read,2020/12/14,2020/12/14,2020/12/14,1,"",,,,,,,5.0,,"",,"economics, business",No
Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,"",9781119002253,paperback,to-read,2023/01/07,"","",0,"",,,,,,,,,"",,"",No
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,"",9780679778318,paperback,read,2021/07/14,2021/07/14,2021/07/14,1,"",,,,,,,4.0,,"",,"self-help, psychology",No
The Four Disciplines of Execution,Stephen R. Covey,Jennifer Colosimo,9781929494774,audio,to-read,2021/12/12,"","",0,"",,,,,,,,,"",,"",No
From Symptoms to Causes: Applying the Logical Thinking Process to an Everyday Problem,Thorsteinn Siglaugsson,"",9781654544829,paperback,read,2020/12/18,2020/12/19,2020/12/19,1,"",,,,,,,3.0,,"",,"business, logic",No
Survival of the Sickest: A Medical Maverick Discovers Why We Need Disease,"Sharon Moalem, Jonathan Prince","",,audio,read,2022/04/26,2022/04/26,2022/04/26,1,"",,,,,,,5.0,,"",,"health, science",No
Silently Seduced: When Parents Make Their Children Partners - Understanding Covert Incest,Kenneth M. Adams,"",9781558741317,paperback,read,2022/11/15,2022/11/15,2022/11/15,1,"",,,,,,,4.0,,"",,psychology,No
"The Book of Self Mastery: Timeless Quotes About Knowing, Changing, and Mastering Yourself",Designing the Mind,"","",digital,read,2023/02/25,2023/02/25,2023/02/20-2023/02/25,1,"",medium,,,,,,4.0,"","","","self-help, psychology",No
"Unleash the Power of Storytelling: Win Hearts, Change Minds, Get Results",Rob Biesenbach,"",9780991081424,paperback,read,2023/01/07,2023/01/07,2023/01/07,1,"",,,,,,,3.0,,"",,business,No
Triggers: Creating Behavior That Lasts--Becoming the Person You Want to Be,"Marshall Goldsmith, Mark Reiter","",9780804141239,hardcover,read,2021/07/06,2021/07/06,2021/07/06,1,"",,,,,,,4.0,,"",,"self-help, psychology",No
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,"",9780812975215,paperback,read,2021/04/23,2021/04/23,2021/04/23,1,"",,,,,,,2.0,"This was a struggle to get through, it was interesting enough I suppose but I just don't feel like I've got any real takeaway from it.","",,business,No
The Wisdom of No Escape: And the Path of Loving Kindness,Pema Chödrön,"",9781570628726,paperback,read,2023/01/31,2023/01/31,2023/01/29-2023/01/31,1,"informative, inspiring",slow,,,,,,5.0,"","","","philosophy, meditation",No
The Psychology of Money,Morgan Housel,"",B084HJSJJ2,digital,read,2021/02/24,2021/02/24,2021/02/24,1,"",,,,,,,5.0,,"",,"finance, psychology",No
Free Will,Sam Harris,"",9781451683400,paperback,read,2022/01/05,2022/01/08,2022/01/08,1,"",,,,,,,5.0,,"",,"philosophy, psychology, science",No
Under Saturn's Shadow: The Wounding and Healing of Men,James Hollis,"",,,read,2023/01/10,2022/11/20,2022/11/20,1,"",medium,,,,,,2.0,"","","",psychology,No
The Structure of Magic a Book about Language and Therapy,"Richard Bandler, John Grinder","",9780831400446,paperback,read,2021/01/09,2021/01/09,2021/01/09,1,"",,,,,,,3.0,,"",,psychology,No
The Violin Maker: Finding a Centuries-Old Tradition in a Brooklyn Workshop,John Marchese,"",,,read,2020/09/10,2020/09/14,2020/09/14,1,"",,,,,,,4.0,,"",,"music, history",No
Permanent Record,Edward Snowden,"",9781250237231,hardcover,read,2023/01/10,2021/03/12,2021/03/12,1,informative,medium,,,,,,4.0,"","","","politics, cybersecurity, memoir",No
Make It Stick: The Science of Successful Learning,"Henry L. Roediger, Mark A. McDaniel, Peter C. Brown","",9780674729018,hardcover,read,2021/07/14,2021/07/24,2021/07/24,1,"",,,,,,,5.0,,"",,"self-help, psychology",No
Apotheosis Now: Rabbit Hole to the Beyond,"Yanhao Huang, Yanhao Huang","",B0928692ZS,digital,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
A Million Miles in a Thousand Years: What I Learned While Editing My Life,Donald Miller,"",9780785213062,hardcover,to-read,2021/12/12,"","",0,"",,,,,,,,,"",,"",No
The Dictionary of Obscure Sorrows,John Koenig,"",9781501153648,hardcover,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
Courage Is Calling: Fortune Favours the Brave,Ryan Holiday,"",9781788166270,hardcover,read,2021/10/13,2021/11/11,2021/11/11,1,"",,,,,,,4.0,,"",,philosophy,No
Zen Parenting: Caring for Ourselves and Our Children in an Unpredictable World,"Cathy Cassani Adams, Cathy Cassani Adams","",9780306925207,paperback,to-read,2021/10/07,"","",0,"",,,,,,,,,"",,"",No
Breath: The New Science of a Lost Art,James Nestor,"",9780735213616,hardcover,read,2020/10/28,2020/12/29,2020/12/29,1,"",,,,,,,4.0,,"",,"health, science",No
Unsafe Thinking: How to be Creative and Bold When You Need It Most,Jonah Sachs,"",9781847942104,paperback,read,2022/01/26,2022/01/26,2022/01/26,1,"",,,,,,,4.0,,"",,"business, psychology",No
Living on the Edge: When Hard Times Become a Way of Life,"Celine-Marie Pascale, Celine-Marie Pascale","",9781509548248,paperback,to-read,2021/11/25,"","",0,"",,,,,,,,,"",,"",No
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical & Financial Destiny!",Tony Robbins,"",9780671791544,paperback,read,2020/08/25,2020/08/31,2020/08/31,1,"",,,,,,,3.0,,"",,business,No
Stoicism: The Art Of Being Calm And Centred In A Manic World.,Conrad Miller,"",9781092856225,paperback,read,2020/11/11,2020/11/27,2020/11/27,1,"",,,,,,,3.0,,"",,philosophy,No
Pythonic Programming: Tips for Becoming an Idiomatic Python Programmer,Dmitry Zinoviev,"",9781680508611,paperback,read,2023/02/03,2023/02/03,2023/02/03-2023/02/03,1,informative,fast,,,,,,4.0,"","","","programming, python",No
"The Comfort Crisis: Embrace Discomfort to Reclaim Your Wild, Happy, Healthy Self",Michael Easter,"",9780593138762,hardcover,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
The Man Who Tasted Words: A Neurologist Explores the Strange and Startling World of Our Senses,Guy Leschziner,"",9781250272362,hardcover,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"",9781591842804,hardcover,read,2020/08/25,2020/05/01,2020/05/01,1,"",,,,,,,4.0,,"",,business,No
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,"",9781570623448,paperback,read,2021/11/23,2021/12/20,2021/12/20,1,"",,,,,,,5.0,,"",,self-help,No
The Crowdsourced Panopticon: Conformity and Control on Social Media,Jeremy Weissman,"",9781538144312,hardcover,read,2022/06/24,2022/06/24,2022/06/24,1,"",,,,,,,4.0,,"",,"social-media, philosophy",No
Astrophysics for People in a Hurry,Neil deGrasse Tyson,"",9780393609394,hardcover,read,2023/02/10,2023/02/10,2023/02/10-2023/02/10,1,informative,,,,,,,4.0,"","","","astrophysics, science",No
The Red Famine: Stalin's War on the Ukraine,"Anne Applebaum, Anne Applebaum","",,paperback,read,2022/12/10,2022/12/10,2022/12/10,1,"",,,,,,,4.0,,"",,history,No
"Just So: Money, Materialism, and the Ineffable, Intelligent Universe",Alan Watts,"",9781683642947,paperback,read,2021/12/30,2021/12/30,2021/12/30,1,"",,,,,,,3.0,,"",,philosophy,No
Buzz: The Nature and Necessity of Bees,Thor Hanson,"",9780465052615,hardcover,read,2023/05/07,2023/05/07,2023/05/02-2023/05/07,1,"informative, inspiring, lighthearted",medium,,,,,,5.0,"","","","nature, science",No
"Four Hundred Souls: A Community History of African America, 1619-2019","Ibram X. Kendi, Keisha N. Blain","",9780593134047,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
Python Beyond the Basics,Al Sweigart,"","",digital,read,2022/08/27,2022/08/27,2022/08/27,1,"",,,,,,,4.0,,"",,"programming, python",No
When Breath Becomes Air,Paul Kalanithi,"",9781847923677,hardcover,read,2020/08/25,2020/08/01,2020/08/01,1,"",,,,,,,4.0,,"",,memoir,No
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"",9780544272996,hardcover,read,2022/08/11,2022/07/27,2022/07/27,1,"",,,,,,,3.0,,"",,"funny, nonsense, science",No
Extreme Privacy: What It Takes to Disappear in America,Michael Bazzell,"",,,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
The Manual: A Philosopher's Guide to Life,"Sam Torode, Epictetus","",9781545461112,paperback,read,2020/10/12,2020/10/17,2020/10/17,1,"",,,,,,,4.0,,"",,philosophy,No
The Invisible Gorilla: And Other Ways Our Intuitions Deceive Us,Christopher Chabris,Daniel Simons,9780307459657,hardcover,read,2021/09/14,2021/09/14,2021/09/14,1,"",,,,,,,5.0,,"",,"psychology, science",No
"Working Stiff: Two Years, 262 Bodies, and the Making of a Medical Examiner",Judy Melinek,T.J. Mitchell,9781476727257,hardcover,read,2022/01/01,2023/02/15,2023/02/14-2023/02/15,1,"dark, emotional",fast,,,,,,5.0,,"","","health, science, memoir",No
America: The Farewell Tour,Chris Hedges,"",9781501152672,hardcover,read,2021/09/17,2021/09/17,2021/09/17,1,"",,,,,,,5.0,,"",,"politics, history",No
Don't Stop: Learn to See Your Failures and Struggles As Opportunities,"Tyler Feller, Tyler Feller","",B09JVTP7Q5,digital,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
"Poverty, by America",Matthew Desmond,"",9780593239919,hardcover,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
"I Don't Want To, I Don't Feel Like It: How Resistance Controls Your Life and What to Do about It","Ashwini Narayanan, Cheri Huber","",9780961475499,paperback,read,2022/01/02,2022/01/02,2022/01/02,1,"",,,,,,,5.0,,"",,"self-help, psychology",No
"Who's Raising the Kids?: Big Tech, Big Business, and the Lives of Children",Susan Linn,"",9781620972274,hardcover,to-read,2022/08/22,"","",0,"",,,,,,,,,"",,"",No
The Boy Crisis: Why Our Boys Are Struggling and What We Can Do about It,Warren Farrell,John Gray,9781942952718,hardcover,read,2021/05/15,2021/05/22,2021/05/22,1,"",,,,,,,5.0,,"",,parenting,No
Unoffendable: The Art of Thriving in a World Full of Jerks,"Fleur Marie Vaz, Einzelgänger","",,,read,2022/02/06,2021/08/10,2021/08/10,1,"",,,,,,,3.0,,"",,philosophy,No
"Dear White Friend: The Realities of Race, the Power of Relationships and Our Path to Equity",Melvin J. Gravely II,"",9781626348769,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,"",9781982141462,hardcover,read,2020/11/21,2020/11/27,2020/11/27,1,"",,,,,,,4.0,,"",,"biography, politics",No
Sweat: A History of Exercise,Bill Hayes,"",9781620402283,hardcover,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,"",No
I Hope You Die Soon: Words on Non-Duality,Richard Sylvester,"",B01E0QGP9E,digital,read,2021/12/13,2021/12/13,2021/12/13,1,"",,,,,,,4.0,,"",,philosophy,No
"Hands-On Machine Learning with Scikit-Learn, Keras, and Tensorflow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,"",,,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
Disobey: A Philosophy of Resistance,Frederic Gros,"",9781788736312,hardcover,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
The End of Gender: Debunking the Myths about Sex and Identity in Our Society,Debra Soh,"",9781982132514,hardcover,read,2023/04/04,2023/04/04,2023/04/01-2023/04/04,1,informative,medium,,,,,,4.0,,"","","gender, sex, science",No
Undo It!: How Simple Lifestyle Changes Can Reverse Most Chronic Diseases,"Anne Ornish, Dean Ornish","",9780525480020,paperback,to-read,2021/12/27,"","",0,"",,,,,,,,,"",,"",No
She Comes First: The Thinking Man's Guide to Pleasuring a Woman,Ian Kerner,"",9780060538255,hardcover,read,2023/02/09,2023/02/09,2023/02/01-2023/02/09,1,informative,fast,,,,,,3.5,"","","","sex, relationships",No
"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity--And Will Determine the Fate of the Human Race","Michael E. Long, Daniel Z. Lieberman","",9781946885111,hardcover,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,"Tom Picasso (Narrator), Keiko Yoshida, David Mitchell",9781501260384,audio,read,2022/02/17,2022/02/17,2022/02/17,1,"",,,,,,,3.0,,"",,memoir,No
You Have The Right...: A Constitutional Guide to Policing the Police,Laura Coates,"",,,read,2022/09/19,2022/09/19,2022/09/19,1,"",,,,,,,4.0,,"",,self-help,No
Musonius Rufus: Lectures and Sayings,Cynthia King,"",9781456459666,paperback,read,2021/06/26,2021/07/02,2021/07/02,1,"",,,,,,,3.0,,"",,philosophy,No
"The Great Dissenter: The Story of John Marshall Harlan, America's Judicial Hero",Peter S. Canellos,"",9781501188206,hardcover,to-read,2021/12/03,"","",0,"",,,,,,,,,"",,"",No
"The World Atlas of Coffee: From Beans to Brewing -- Coffees Explored, Explained and Enjoyed",James Hoffmann,"",9780228100942,hardcover,read,2020/10/05,2020/04/01,2020/04/01,1,"",,,,,,,4.0,,"",,"coffee, reference",No
Stoicism for Inner Peace,"Einzelgänger, Fleur Vaz","",B091V69Q5T,digital,read,2021/12/22,2021/12/22,2021/12/22,1,"",,,,,,,3.0,,"",,philosophy,No
Democracy Incorporated: Managed Democracy and the Specter of Inverted Totalitarianism,Sheldon S. Wolin,"",,,read,2023/02/15,2023/02/15,2023/02/04-2023/02/15,1,informative,medium,,,,,,4.0,"","","","politics, history",No
Out of Office: The Big Problem and Bigger Promise of Working from Home,"Charlie Warzel, Anne Helen Petersen","",9780593320099,hardcover,read,2021/11/23,2023/02/25,2023/02/20-2023/02/25,1,informative,fast,,,,,,4.0,"","","",business,No
"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Layla Saad,"",9781728209807,hardcover,read,2021/11/06,2021/11/06,2021/11/06,1,"",,,,,,,3.0,,"",,racism,No
How to Survive a Pandemic,Michael Greger,"",9781250791429,digital,read,2021/09/12,2020/07/02,2020/07/02,1,"",,,,,,,5.0,,"",,"health, science",No
Educated,Tara Westover,"",9780399590511,digital,read,2020/12/23,2020/12/23,2020/12/23,1,"",,,,,,,5.0,,"",,memoir,No
The Loneliness Epidemic: Why So Many of Us Feel Alone--And How Leaders Can Respond,"Susan Mettes, David Kinnaman","",9781587434778,hardcover,to-read,2021/10/27,"","",0,"",,,,,,,,,"",,"",No
The Richest Man in Babylon: The Success Secrets of the Ancients--The Most Inspiring Book on Wealth Ever Written,George S. Clason,"",9780451205360,paperback,read,2021/01/01,2021/01/01,2021/01/01,1,"",,,,,,,4.0,"An easy, and quick read with important information but it doesn't need to be read in-depth, scanning and finding the key points will certainly suffice.","",,finance,No
Blink,Malcolm Gladwell,"",9780316010665,paperback,read,2020/08/25,2020/06/01,2020/06/01,1,"",,,,,,,4.0,,"",,"psychology, sociology",No
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,"",9780679603757,digital,read,2022/10/03,2022/10/10,2022/10/10,1,"",,,,,,,4.0,,"",,"biography, history",No
Nomadland: Surviving America in the Twenty-First Century,Jessica Bruder,Karen White (Narrator),9781681687193,audio,read,2022/08/16,2022/08/16,2022/08/16,1,"",,,,,,,3.0,,"",,sociology,No
How To Make Sure Your Life Doesn't Suck: A Different Kind Of Guide To Navigating The Ups And Downs Of Life,Maggie Gilewicz,"",,,read,2022/01/28,2022/01/28,2022/01/28,1,"",,,,,,,4.0,,"",,self-help,No
Stolen Focus: Why You Can't Pay Attention—and How to Think Deeply Again,Johann Hari,"",9780593138519,hardcover,read,2021/11/28,2023/04/16,2023/04/06-2023/04/16,1,informative,medium,,,,,,5.0,"","","","self-help, focus, psychology",No
Taste What You're Missing: The Passionate Eater's Guide to Why Good Food Tastes Good,Barb Stuckey,"",9781439190739,hardcover,to-read,2022/12/17,"","",0,"",,,,,,,,,"",,"",No
"This Naked Mind: Control Alcohol, Find Freedom, Discover Happiness & Change Your Life",Annie Grace,"",9780525537236,paperback,read,2021/10/27,2021/11/01,2021/11/01,1,"",,,,,,,5.0,,"",,"health, self-help, psychology",No
The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns,John C. Bogle,"",9780470102107,hardcover,read,2021/03/07,2021/03/07,2021/03/07,1,"",,,,,,,5.0,,"",,finance,No
Fear and Clothing: Unbuckling American Style,Cintra Wilson,"",9780393081893,hardcover,to-read,2023/01/15,"","",0,"",,,,,,,,,"",,"",No
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"",9780374159122,hardcover,read,2021/09/11,2021/09/11,2021/09/11,1,"",,,,,,,5.0,,"",,"philosophy, self-help",No
It's Not About You: A Brief Guide to a Meaningful Life,Tom Rath,"",,audio,read,2021/09/25,2021/09/25,2021/09/25,1,"",,,,,,,3.0,,"",,self-help,No
The Fear Book: Facing Fear Once and for All,Cheri Huber,June Shiver (Illustrator),9780991596324,paperback,read,2021/12/27,2021/12/27,2021/12/27,1,"",,,,,,,4.0,,"",,"self-help, fear, psychology",No
This Is Vegan Propaganda,Ed Winters,"",9781473595132,digital,read,2022/07/06,2022/07/05,2022/07/05,1,"",,,,,,,5.0,,"",,"health, animal-rights, science",No
Money Master the Game: 7 Simple Steps to Financial Freedom,Tony Robbins,"",9781476757803,hardcover,read,2021/09/12,2020/06/01,2020/06/01,1,"",,,,,,,3.0,,"",,"business, finance",No
"Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body, Better Health, and Bigger Success",Shawn Stevenson,"",,,"","","","","","","","","","","","","","","","","health, sleep",No
